Player,Team,Position,Week,Opponent,Passing_Yards,Rushing_Yards,Receiving_Yards,Carries,Targets,Receptions
Patrick Mahomes,Chiefs,QB,1,Chargers,258,57,0,0,0,0
Patrick Mahomes,Chiefs,QB,2,Eagles,187,66,0,0,0,0
Patrick Mahomes,Chiefs,QB,3,Giants,224,2,0,0,0,0
Patrick Mahomes,Chiefs,QB,4,Ravens,270,5,0,0,0,0
Patrick Mahomes,Chiefs,QB,5,Jaguars,318,60,0,0,0,0
Patrick Mahomes,Chiefs,QB,6,Lions,257,32,0,0,0,0
Patrick Mahomes,Chiefs,QB,7,Raiders,286,28,0,0,0,0
Patrick Mahomes,Chiefs,QB,8,Commanders,299,30,0,0,0,0
Travis Kelce,Chiefs,TE,1,Chargers,0,0,47,0,4,2
Travis Kelce,Chiefs,TE,2,Eagles,0,0,61,0,6,4
Travis Kelce,Chiefs,TE,3,Giants,0,0,26,0,7,4
Travis Kelce,Chiefs,TE,4,Ravens,0,0,48,0,5,5
Travis Kelce,Chiefs,TE,5,Jaguars,0,0,61,0,8,7
Travis Kelce,Chiefs,TE,6,Lions,0,0,78,0,7,6
Travis Kelce,Chiefs,TE,7,Raiders,0,0,54,0,3,3
Travis Kelce,Chiefs,TE,8,Commanders,0,0,99,0,8,6
Jonathan Taylor,Colts,RB,1,Dolphins,0,71,27,18,3,3
Jonathan Taylor,Colts,RB,2,Broncos,0,165,50,25,2,2
Jonathan Taylor,Colts,RB,3,Titans,0,102,16,17,4,3
Jonathan Taylor,Colts,RB,4,Rams,0,76,20,17,5,5
Jonathan Taylor,Colts,RB,5,Raiders,0,66,20,17,4,3
Jonathan Taylor,Colts,RB,6,Cardinals,0,123,14,21,4,4
Jonathan Taylor,Colts,RB,7,Chargers,0,94,38,16,3,3
Jonathan Taylor,Colts,RB,8,Titans,0,153,21,12,2,2
Michael Pittman,Colts,WR,1,Dolphins,0,0,80,0,8,6
Michael Pittman,Colts,WR,2,Broncos,0,0,40,0,5,4
Michael Pittman,Colts,WR,3,Titans,0,0,73,0,6,6
Michael Pittman,Colts,WR,4,Rams,0,0,41,0,10,5
Michael Pittman,Colts,WR,5,Raiders,0,0,39,0,6,5
Michael Pittman,Colts,WR,6,Cardinals,0,0,20,0,3,2
Michael Pittman,Colts,WR,7,Chargers,0,0,58,0,9,7
Michael Pittman,Colts,WR,8,Titans,0,0,95,0,9,8
Daniel Jones,Colts,QB,1,Dolphins,272,26,0,7,0,0
Daniel Jones,Colts,QB,2,Broncos,316,2,0,6,0,0
Daniel Jones,Colts,QB,3,Titans,228,27,0,4,0,0
Daniel Jones,Colts,QB,4,Rams,262,0,0,0,0,0
Daniel Jones,Colts,QB,5,Raiders,212,2,0,1,0,0
Daniel Jones,Colts,QB,6,Cardinals,212,20,0,5,0,0
Daniel Jones,Colts,QB,7,Chargers,288,7,0,5,0,0
Daniel Jones,Colts,QB,8,Titans,272,3,0,1,0,0
Josh Allen,Bills,QB,1,Ravens,394,30,0,14,0,0
Josh Allen,Bills,QB,2,Jets,148,59,0,6,0,0
Josh Allen,Bills,QB,3,Dolphins,213,25,0,4,0,0
Josh Allen,Bills,QB,4,Saints,209,45,0,7,0,0
Josh Allen,Bills,QB,5,Patriots,253,53,0,9,0,0
Josh Allen,Bills,QB,6,Falcons,108,42,0,6,0,0
Josh Allen,Bills,QB,8,Panthers,163,7,0,3,0,0
James Cook,Bills,RB,1,Ravens,0,44,58,13,5,5
James Cook,Bills,RB,2,Jets,0,132,3,21,1,1
James Cook,Bills,RB,3,Dolphins,0,108,10,19,3,3
James Cook,Bills,RB,4,Saints,0,117,18,22,4,3
James Cook,Bills,RB,5,Patriots,0,49,0,15,1,0
James Cook,Bills,RB,6,Falcons,0,87,0,17,0,0
James Cook,Bills,RB,8,Panthers,0,216,0,19,0,0
Khalil Shakir,Bills,WR,1,Ravens,0,0,64,0,9,6
Khalil Shakir,Bills,WR,2,Jets,0,0,12,0,2,1
Khalil Shakir,Bills,WR,3,Dolphins,0,0,45,0,4,4
Khalil Shakir,Bills,WR,4,Saints,0,0,69,0,5,5
Khalil Shakir,Bills,WR,5,Patriots,0,0,45,0,9,6
Khalil Shakir,Bills,WR,6,Falcons,0,0,33,0,5,3
Khalil Shakir,Bills,WR,8,Panthers,0,0,88,0,7,6
Jamarr Chase,Bengals,WR,1,Browns,0,0,26,0,5,2
Jamarr Chase,Bengals,WR,2,Jaguars,0,0,165,0,16,14
Jamarr Chase,Bengals,WR,3,Vikings,0,0,50,0,6,5
Jamarr Chase,Bengals,WR,4,Broncos,0,0,23,0,8,5
Jamarr Chase,Bengals,WR,5,Lions,0,0,110,0,10,6
Jamarr Chase,Bengals,WR,6,Packers,0,0,94,0,12,10
Jamarr Chase,Bengals,WR,7,Steelers,0,0,161,0,23,16
Jamarr Chase,Bengals,WR,8,Jets,0,0,91,0,19,12
Chase Brown,Bengals,RB,1,Browns,0,43,8,21,3,2
Chase Brown,Bengals,RB,2,Jaguars,0,47,18,16,3,2
Chase Brown,Bengals,RB,3,Vikings,0,3,17,10,5,4
Chase Brown,Bengals,RB,4,Broncos,0,40,31,10,3,3
Chase Brown,Bengals,RB,5,Lions,0,27,21,8,8,7
Chase Brown,Bengals,RB,6,Packers,0,42,7,9,2,2
Chase Brown,Bengals,RB,7,Steelers,0,108,0,11,4,2
Chase Brown,Bengals,RB,8,Jets,0,73,32,12,3,3
Josh Jacobs,Packers,RB,1,Lions,0,66,0,19,0,0
Josh Jacobs,Packers,RB,2,Commanders,0,84,0,23,0,0
Josh Jacobs,Packers,RB,3,Browns,0,30,0,16,0,0
Josh Jacobs,Packers,RB,4,Cowboys,0,86,0,22,0,0
Josh Jacobs,Packers,RB,6,Bengals,0,93,0,18,0,0
Josh Jacobs,Packers,RB,7,Cardinals,0,55,0,13,0,0
Josh Jacobs,Packers,RB,8,Steelers,0,33,0,13,0,0
Tucker Kraft,Packers,TE,1,Lions,0,0,16,0,4,2
Tucker Kraft,Packers,TE,2,Commanders,0,0,124,0,7,6
Tucker Kraft,Packers,TE,3,Browns,0,0,29,0,4,3
Tucker Kraft,Packers,TE,4,Cowboys,0,0,56,0,5,5
Tucker Kraft,Packers,TE,6,Bengals,0,0,43,0,2,2
Tucker Kraft,Packers,TE,7,Cardinals,0,0,58,0,10,5
Tucker Kraft,Packers,TE,8,Steelers,0,0,143,0,9,7
